X,Y,Z
0,0,0
0.29702,0.00298,0
0.58816,0.01184,0
0.87354,0.02646,0
1.15328,0.04672,0
1.4275,0.0725,0
1.69632,0.10368,0
1.95986,0.14014,0
2.21824,0.18176,0
2.47158,0.22842,0
2.72,0.28,0
2.96362,0.33638,0
3.20256,0.39744,0
3.43694,0.46306,0
3.66688,0.53312,0
3.8925,0.6075,0
4.11392,0.68608,0
4.33126,0.76874,0
4.54464,0.85536,0
4.75418,0.94582,0
4.96,1.04,0
5.16222,1.13778,0
5.36096,1.23904,0
5.55634,1.34366,0
5.74848,1.45152,0
5.9375,1.5625,0
6.12352,1.67648,0
6.30666,1.79334,0
6.48704,1.91296,0
6.66478,2.03522,0
6.84,2.16,0
7.01282,2.28718,0
7.18336,2.41664,0
7.35174,2.54826,0
7.51808,2.68192,0
7.6825,2.8175,0
7.84512,2.95488,0
8.00606,3.09394,0
8.16544,3.23456,0
8.32338,3.37662,0
8.48,3.52,0
8.63542,3.66458,0
8.78976,3.81024,0
8.94314,3.95686,0
9.09568,4.10432,0
9.2475,4.2525,0
9.39872,4.40128,0
9.54946,4.55054,0
9.69984,4.70016,0
9.84998,4.85002,0
10,5,0
10.15,5.14998,0
10.3002,5.29984,0
10.4505,5.44946,0
10.6013,5.59872,0
10.7525,5.7475,0
10.9043,5.89568,0
11.0569,6.04314,0
11.2102,6.18976,0
11.3646,6.33542,0
11.52,6.48,0
11.6766,6.62338,0
11.8346,6.76544,0
11.9939,6.90606,0
12.1549,7.04512,0
12.3175,7.1825,0
12.4819,7.31808,0
12.6483,7.45174,0
12.8166,7.58336,0
12.9872,7.71282,0
13.16,7.84,0
13.3352,7.96478,0
13.513,8.08704,0
13.6933,8.20666,0
13.8765,8.32352,0
14.0625,8.4375,0
14.2515,8.54848,0
14.4437,8.65634,0
14.639,8.76096,0
14.8378,8.86222,0
15.04,8.96,0
15.2458,9.05418,0
15.4554,9.14464,0
15.6687,9.23126,0
15.8861,9.31392,0
16.1075,9.3925,0
16.3331,9.46688,0
16.5631,9.53694,0
16.7974,9.60256,0
17.0364,9.66362,0
17.28,9.72,0
17.5284,9.77158,0
17.7818,9.81824,0
18.0401,9.85986,0
18.3037,9.89632,0
18.5725,9.9275,0
18.8467,9.95328,0
19.1265,9.97354,0
19.4118,9.98816,0
19.703,9.99702,0
